,YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,VOTES,ELECTORS,VOTERS,VALID VOTES,TURNOUT,PREDICTED WINNER
52,1977,ANNA NAGAR,K. GEORGE MATHEW,N,IND,M,262,178266,86717,85974,0.48644721932393165,N
52,1977,ANNA NAGAR,K. GEORGE MATHEW,N,IND,M,262,178266,86717,85974,0.48644721932393165,N
53,1977,ANNA NAGAR,V.N. BAJPAI,N,HMS,M,162,178266,86717,85974,0.48644721932393165,N
54,1977,ANNA NAGAR,ABDUL AZEEZ,N,IND,M,86,178266,86717,85974,0.48644721932393165,N
54,1977,ANNA NAGAR,ABDUL AZEEZ,N,IND,M,86,178266,86717,85974,0.48644721932393165,N
55,1977,ANNA NAGAR,K. JAYARAMAN,N,IND,M,73,178266,86717,85974,0.48644721932393165,N
56,1977,THEAGARAYA NAGAR,R.E. CHANDRAN JAYAPAL,W,DMK,M,23346,180871,76185,75522,0.42121180288714055,N
57,1977,THEAGARAYA NAGAR,K. KRISHNAMOORTHY,N,ADMK,M,22316,180871,76185,75522,0.42121180288714055,W
57,1977,THEAGARAYA NAGAR,K. KRISHNAMOORTHY,N,ADMK,M,22316,180871,76185,75522,0.42121180288714055,W
58,1977,THEAGARAYA NAGAR,K. KRISHNAMOORTHY (JANA),N,JNP,M,18020,180871,76185,75522,0.42121180288714055,W
59,1977,THEAGARAYA NAGAR,A.J. DOSS,N,INC,M,7833,180871,76185,75522,0.42121180288714055,N
60,1977,THEAGARAYA NAGAR,K. SOWRIRAJAN,N,IND,M,2387,180871,76185,75522,0.42121180288714055,W
61,1977,THEAGARAYA NAGAR,K. KALYANASUNDARAM,N,IND,M,560,180871,76185,75522,0.42121180288714055,N
62,1977,THEAGARAYA NAGAR,D. JAYAKANTHAN,N,IND,M,481,180871,76185,75522,0.42121180288714055,N
63,1977,THEAGARAYA NAGAR,K. RAGHAVAN,N,IND,M,242,180871,76185,75522,0.42121180288714055,N
64,1977,THEAGARAYA NAGAR,K.M. SUBRAMANIAN,N,IND,M,170,180871,76185,75522,0.42121180288714055,N
65,1977,THEAGARAYA NAGAR,M.M. KRISHNAN,N,IND,M,104,180871,76185,75522,0.42121180288714055,N
66,1977,THEAGARAYA NAGAR,C. VELAYUDHAM,N,IND,M,63,180871,76185,75522,0.42121180288714055,N
67,1977,THOUSAND LIGHTS,S.J. SADIQ PASHA,W,DMK,M,26599,167463,72284,71635,0.431641616357046,W
68,1977,THOUSAND LIGHTS,SYED KHALEEFA THULLAH,N,IND,M,21741,167463,72284,71635,0.431641616357046,N
69,1977,THOUSAND LIGHTS,ANBUMANI,N,JNP,M,15230,167463,72284,71635,0.431641616357046,N
69,1977,THOUSAND LIGHTS,ANBUMANI,N,JNP,M,15230,167463,72284,71635,0.431641616357046,N
70,1977,THOUSAND LIGHTS,P.A. DAIVASIGAMANI,N,INC,M,7902,167463,72284,71635,0.431641616357046,N
71,1977,THOUSAND LIGHTS, P.RAMAKRISHNAN,N,IND,M,163,167463,72284,71635,0.431641616357046,N
72,1977,CHEPAUK,A. RAHAMAN KHAN,W,DMK,M,24425,123253,64140,63602,0.52039301274614,N
73,1977,CHEPAUK,V. RAJKUMAR,N,ADMK,M,17796,123253,64140,63602,0.52039301274614,N
74,1977,CHEPAUK,S.V. KNANDASWAMY,N,JNP,M,13849,123253,64140,63602,0.52039301274614,N
75,1977,CHEPAUK,N.M. MANIVARMA,N,INC,M,7532,123253,64140,63602,0.52039301274614,N
75,1977,CHEPAUK,N.M. MANIVARMA,N,INC,M,7532,123253,64140,63602,0.52039301274614,W
76,1977,TRIPLICANE,M. ARANGANATHAN,W,DMK,M,23154,132743,66440,65856,0.5005160347438283,N
77,1977,TRIPLICANE,NOORJAHAN RAZACK,N,ADMK,F,21027,132743,66440,65856,0.5005160347438283,N
78,1977,TRIPLICANE,K.S. NARAYANAN,N,JNP,M,12401,132743,66440,65856,0.5005160347438283,N
79,1977,TRIPLICANE,S. VEERARAGAGHAVAN,N,INC,M,9027,132743,66440,65856,0.5005160347438283,N
80,1977,TRIPLICANE,D. RAGHAVAN,N,IND,M,247,132743,66440,65856,0.5005160347438283,N
81,1977,MYLAPORE,T.K. KAPALI,W,DMK,M,26044,152323,77911,77167,0.5114854618146965,W
82,1977,MYLAPORE,LAKSHMI KRISHNAMURTHI,N,JNP,F,21138,152323,77911,77167,0.5114854618146965,N
83,1977,MYLAPORE,MYLAI NARASIMHAN,N,ADMK,M,19139,152323,77911,77167,0.5114854618146965,N
83,1977,MYLAPORE,MYLAI NARASIMHAN,N,ADMK,M,19139,152323,77911,77167,0.5114854618146965,W
84,1977,MYLAPORE,CHINNA ANNAMALAI,N,INC,M,10449,152323,77911,77167,0.5114854618146965,W
85,1977,MYLAPORE,THIRUNAGAR RATHNAM,N,HMS,M,261,152323,77911,77167,0.5114854618146965,N
86,1977,MYLAPORE,P.M. RAJAVELAN,N,IND,M,136,152323,77911,77167,0.5114854618146965,N
87,1977,SAIDAPET,D. PURUSHOTHAMAN,W,DMK,M,27160,148319,74578,74014,0.5028216209656214,W
88,1977,SAIDAPET,N. KANNAN,N,ADMK,M,21882,148319,74578,74014,0.5028216209656214,N
89,1977,SAIDAPET,M. NETHAJI,N,JNP,M,16339,148319,74578,74014,0.5028216209656214,W
90,1977,SAIDAPET,K. JAGAVEERAPANDIAN,N,INC,M,8176,148319,74578,74014,0.5028216209656214,N
91,1977,SAIDAPET,P.M. KANNIAH,N,IND,M,357,148319,74578,74014,0.5028216209656214,N
91,1977,SAIDAPET,P.M. KANNIAH,N,IND,M,357,148319,74578,74014,0.5028216209656214,N
92,1977,SAIDAPET,N. VEERAN,N,IND,M,100,148319,74578,74014,0.5028216209656214,N
93,1977,GUMMIDIPUNDI,S. MUNIRATHINAM,W,ADMK,M,32309,121875,77810,76456,0.6384410256410257,N
94,1977,GUMMIDIPUNDI,G. KAMALAMBUJAMMAL,N,JNP,F,21042,121875,77810,76456,0.6384410256410257,N
95,1977,GUMMIDIPUNDI,K. VENU,N,DMK,M,12135,121875,77810,76456,0.6384410256410257,N
96,1977,GUMMIDIPUNDI,K. VENKATASUBBARAJU,N,INC,M,7782,121875,77810,76456,0.6384410256410257,N
97,1977,GUMMIDIPUNDI,E. VINAYAGAM,N,IND,M,1436,121875,77810,76456,0.6384410256410257,N
98,1977,GUMMIDIPUNDI,S. ELUMALAI,N,IND,M,1148,121875,77810,76456,0.6384410256410257,N
99,1977,GUMMIDIPUNDI,T. MOHAMAD ALIKHAN,N,IND,M,604,121875,77810,76456,0.6384410256410257,N
99,1977,GUMMIDIPUNDI,T. MOHAMAD ALIKHAN,N,IND,M,604,121875,77810,76456,0.6384410256410257,N
100,1977,PONNERI,S.M. DORAIRAJ,W,ADMK,M,31796,134125,75794,74561,0.5650997204100653,N
101,1977,PONNERI,G. VETRIVEERAN,N,DMK,M,20524,134125,75794,74561,0.5650997204100653,N
101,1977,PONNERI,G. VETRIVEERAN,N,DMK,M,20524,134125,75794,74561,0.5650997204100653,W
102,1977,PONNERI,V. NARGUNAM,N,JNP,M,14170,134125,75794,74561,0.5650997204100653,N
103,1977,PONNERI,K.N. ARUMUGAM,N,INC,M,6422,134125,75794,74561,0.5650997204100653,N
103,1977,PONNERI,K.N. ARUMUGAM,N,INC,M,6422,134125,75794,74561,0.5650997204100653,W
104,1977,PONNERI,G. CHINNARAJ,N,IND,M,1085,134125,75794,74561,0.5650997204100653,W
105,1977,PONNERI,A.P. ELUMALAI,N,IND,M,564,134125,75794,74561,0.5650997204100653,N
106,1977,THIRUVOTTIYUR,P. SIGAMONY,W,ADMK,M,26458,148299,85676,84567,0.5777247317918529,N
107,1977,THIRUVOTTIYUR,M.V. NARAYANASWAMY,N,DMK,M,23995,148299,85676,84567,0.5777247317918529,N
108,1977,THIRUVOTTIYUR,C.K. MADHAVAN,N,IND,M,16888,148299,85676,84567,0.5777247317918529,N
109,1977,THIRUVOTTIYUR,B. MUTUSWAMY NAIDU,N,JNP,M,16800,148299,85676,84567,0.5777247317918529,N
110,1977,THIRUVOTTIYUR,P. CHINNASWAMY,N,IND,M,224,148299,85676,84567,0.5777247317918529,N
111,1977,THIRUVOTTIYUR,P. JOHN,N,IND,M,202,148299,85676,84567,0.5777247317918529,N
112,1977,VILLIVAKKAM,K. SUPPU,W,DMK,M,37327,165872,92190,90891,0.5557900067521945,N
113,1977,VILLIVAKKAM,R. SARWESHWAR RAO,N,ADMK,M,29429,165872,92190,90891,0.5557900067521945,N
114,1977,VILLIVAKKAM,M.G. PANDURANGAN,N,JNP,M,16518,165872,92190,90891,0.5557900067521945,N
115,1977,VILLIVAKKAM,V.R. BHAGAVAN,N,INC,M,6477,165872,92190,90891,0.5557900067521945,N
116,1977,VILLIVAKKAM,M. SENTHILVELAYUTHAM,N,IND,M,445,165872,92190,90891,0.5557900067521945,N
117,1977,VILLIVAKKAM,M. JANARDHANAN,N,IND,M,294,165872,92190,90891,0.5557900067521945,N
118,1977,VILLIVAKKAM,N. BALASUBRAMANIAM,N,IND,M,155,165872,92190,90891,0.5557900067521945,N
119,1977,VILLIVAKKAM,O.R. ARANGAN,N,IND,M,136,165872,92190,90891,0.5557900067521945,N
119,1977,VILLIVAKKAM,O.R. ARANGAN,N,IND,M,136,165872,92190,90891,0.5557900067521945,N
120,1977,VILLIVAKKAM,V. MUTHUVEL,N,IND,M,110,165872,92190,90891,0.5557900067521945,W
121,1977,ALANDUR,ABDUL RAZACK,W,ADMK,M,30961,154152,83605,82665,0.5423542996522912,N
121,1977,ALANDUR,ABDUL RAZACK,W,ADMK,M,30961,154152,83605,82665,0.5423542996522912,N
122,1977,ALANDUR,ABIRAHAM M.,N,DMK,M,27112,154152,83605,82665,0.5423542996522912,N
123,1977,ALANDUR,K. NARAYANRAO,N,JNP,M,17042,154152,83605,82665,0.5423542996522912,N
124,1977,ALANDUR,A. RANGANATHAN,N,INC,M,6608,154152,83605,82665,0.5423542996522912,N
125,1977,ALANDUR,A. BALASUBRAMANIAM,N,IND,M,223,154152,83605,82665,0.5423542996522912,N
126,1977,ALANDUR,V.C. ELUMALAI,N,IND,M,209,154152,83605,82665,0.5423542996522912,N
127,1977,ALANDUR,MERVIN,N,IND,M,185,154152,83605,82665,0.5423542996522912,W
127,1977,ALANDUR,MERVIN,N,IND,M,185,154152,83605,82665,0.5423542996522912,N
128,1977,ALANDUR,P.V. VAIDYALINGAM,N,IND,M,180,154152,83605,82665,0.5423542996522912,W
129,1977,ALANDUR,R. VEERAPANDIAN,N,IND,M,145,154152,83605,82665,0.5423542996522912,N
130,1977,TAMBARAM,MUNU ADHI,W,ADMK,M,32394,157010,93097,91986,0.5929367556206611,N
131,1977,TAMBARAM,PAMMAL N. NALLATHAMBI,N,DMK,M,31968,157010,93097,91986,0.5929367556206611,N
132,1977,TAMBARAM,S. KANNAN,N,JNP,M,17845,157010,93097,91986,0.5929367556206611,N
133,1977,TAMBARAM,N. MURUGESAN,N,INC,M,9101,157010,93097,91986,0.5929367556206611,N
133,1977,TAMBARAM,N. MURUGESAN,N,INC,M,9101,157010,93097,91986,0.5929367556206611,W
134,1977,TAMBARAM,R. CHANDRASEKARAN,N,IND,M,678,157010,93097,91986,0.5929367556206611,N
134,1977,TAMBARAM,R. CHANDRASEKARAN,N,IND,M,678,157010,93097,91986,0.5929367556206611,N
135,1977,TIRUPPORUR,G. CHOKKALINGAM,W,DMK,M,24932,97060,56642,55682,0.5835771687615907,W
136,1977,TIRUPPORUR,T. RADHA,N,ADMK,M,22831,97060,56642,55682,0.5835771687615907,N
137,1977,TIRUPPORUR,R. DAKSHINAMOORTHY,N,JNP,M,5910,97060,56642,55682,0.5835771687615907,N
138,1977,TIRUPPORUR,G. NAGHAMANI,N,RPI,M,712,97060,56642,55682,0.5835771687615907,N
139,1977,TIRUPPORUR,N. JAYACHANDRAN,N,IND,M,672,97060,56642,55682,0.5835771687615907,N
139,1977,TIRUPPORUR,N. JAYACHANDRAN,N,IND,M,672,97060,56642,55682,0.5835771687615907,N
140,1977,TIRUPPORUR,B. SAHADEVAN,N,IND,M,466,97060,56642,55682,0.5835771687615907,N
141,1977,TIRUPPORUR,S.G. KANNIAPPAN,N,IND,M,159,97060,56642,55682,0.5835771687615907,N
142,1977,CHENGALPATTU,JAGADEESAN ANOOR,W,ADMK,M,29306,110575,68431,67377,0.6188650237395433,N
143,1977,CHENGALPATTU,V. RUDRAKOTTI,N,DMK,M,25436,110575,68431,67377,0.6188650237395433,N
144,1977,CHENGALPATTU,B.S. RAGHUPATHY,N,JNP,M,6942,110575,68431,67377,0.6188650237395433,N
145,1977,CHENGALPATTU,P. DHANPAL NAYAGAR,N,INC,M,4275,110575,68431,67377,0.6188650237395433,N
146,1977,CHENGALPATTU,N.E. MAHBOOB BASHA,N,IND,M,611,110575,68431,67377,0.6188650237395433,N
146,1977,CHENGALPATTU,N.E. MAHBOOB BASHA,N,IND,M,611,110575,68431,67377,0.6188650237395433,N
147,1977,CHENGALPATTU,M. VEDACHALAM,N,IND,M,504,110575,68431,67377,0.6188650237395433,N
147,1977,CHENGALPATTU,M. VEDACHALAM,N,IND,M,504,110575,68431,67377,0.6188650237395433,N
148,1977,CHENGALPATTU,S.A. KALI NAYAGAR,N,IND,M,303,110575,68431,67377,0.6188650237395433,W
149,1977,MADURANTHAKAM,C. ARUMUGAM,W,DMK,M,26977,104339,75967,74779,0.7280786666538878,W
150,1977,MADURANTHAKAM,S.D. UGAM CHAND,N,INC,M,19645,104339,75967,74779,0.7280786666538878,N
150,1977,MADURANTHAKAM,S.D. UGAM CHAND,N,INC,M,19645,104339,75967,74779,0.7280786666538878,W
151,1977,MADURANTHAKAM,V. VENKA,N,ADMK,M,18434,104339,75967,74779,0.7280786666538878,N
152,1977,MADURANTHAKAM,O.N. DURAIBABOO,N,JNP,M,8019,104339,75967,74779,0.7280786666538878,N
153,1977,MADURANTHAKAM,D. KANAKASABAPATHY,N,IND,M,968,104339,75967,74779,0.7280786666538878,N
154,1977,MADURANTHAKAM,V.T.R. VEERAPPAN,N,IND,M,736,104339,75967,74779,0.7280786666538878,N
155,1977,ACHARAPAKKAM,ETHRAJ,W,ADMK,M,26756,98677,63099,61952,0.6394499224743354,N
156,1977,ACHARAPAKKAM,N. MUTHUVEL,N,DMK,M,23959,98677,63099,61952,0.6394499224743354,N
157,1977,ACHARAPAKKAM,R. KUPPUSWAMY,N,INC,M,6366,98677,63099,61952,0.6394499224743354,N
158,1977,ACHARAPAKKAM,T. AYYAVOO,N,JNP,M,4871,98677,63099,61952,0.6394499224743354,N
159,1977,UTHIRAMERUR,S. PAKKUR SUBRAMANYAN,W,ADMK,M,34877,116733,78553,77457,0.6729288204706467,N
160,1977,UTHIRAMERUR,K.M. ERAJAGOPAL,N,DMK,M,22294,116733,78553,77457,0.6729288204706467,N
161,1977,UTHIRAMERUR,C. RAMASWAMY,N,INC,M,9647,116733,78553,77457,0.6729288204706467,W
162,1977,UTHIRAMERUR,M.P. RADHAKRISHNAN,N,JNP,M,8641,116733,78553,77457,0.6729288204706467,N
163,1977,UTHIRAMERUR,K.N. KUPPUSWAMY GOUNDER,N,IND,M,1998,116733,78553,77457,0.6729288204706467,N
164,1977,KANCHEEPURAM,K. BALAJI,W,ADMK,M,31327,123336,89309,88312,0.7241113705649608,N
165,1977,KANCHEEPURAM,V. SAMBANDAN,N,DMK,M,29380,123336,89309,88312,0.7241113705649608,N
166,1977,KANCHEEPURAM,E. NARENDRAN,N,JNP,M,16623,123336,89309,88312,0.7241113705649608,N
167,1977,KANCHEEPURAM,C.R. UMAPATHY,N,INC,M,8346,123336,89309,88312,0.7241113705649608,N
167,1977,KANCHEEPURAM,C.R. UMAPATHY,N,INC,M,8346,123336,89309,88312,0.7241113705649608,W
168,1977,KANCHEEPURAM,N. KRISHNAN,N,IND,M,2153,123336,89309,88312,0.7241113705649608,W
168,1977,KANCHEEPURAM,N. KRISHNAN,N,IND,M,2153,123336,89309,88312,0.7241113705649608,N
169,1977,KANCHEEPURAM,M. SHANMUGAM,N,IND,M,250,123336,89309,88312,0.7241113705649608,N
170,1977,KANCHEEPURAM,V.T.R. VEERAPPAN,N,IND,M,233,123336,89309,88312,0.7241113705649608,N
171,1977,SRIPERUMBUDUR,N. KRISHNAN,W,ADMK,M,29038,108219,68838,67538,0.6360990214287694,N
172,1977,SRIPERUMBUDUR,T.S. LAKSHMANAN,N,DMK,M,20901,108219,68838,67538,0.6360990214287694,N
173,1977,SRIPERUMBUDUR,P. APPAVOOR,N,INC,M,8705,108219,68838,67538,0.6360990214287694,N
174,1977,SRIPERUMBUDUR,V. EMPERUMAN,N,JNP,M,7953,108219,68838,67538,0.6360990214287694,N
175,1977,SRIPERUMBUDUR,G.B. GOVINDAN,N,IND,M,941,108219,68838,67538,0.6360990214287694,N
175,1977,SRIPERUMBUDUR,G.B. GOVINDAN,N,IND,M,941,108219,68838,67538,0.6360990214287694,N
176,1977,POONAMALLEE,D. IRAJARATHANAM,W,DMK,M,26552,143250,74148,72774,0.5176125654450262,N
177,1977,POONAMALLEE,ERA KULASEKARAN,N,ADMK,M,21659,143250,74148,72774,0.5176125654450262,N
178,1977,POONAMALLEE,J. MADAN RAJ,N,JNP,M,16660,143250,74148,72774,0.5176125654450262,W
179,1977,POONAMALLEE,A. PALAPANDVAN,N,INC,M,7357,143250,74148,72774,0.5176125654450262,N
180,1977,POONAMALLEE,C. RAMAMURTHY,N,IND,M,351,143250,74148,72774,0.5176125654450262,N
180,1977,POONAMALLEE,C. RAMAMURTHY,N,IND,M,351,143250,74148,72774,0.5176125654450262,N
181,1977,POONAMALLEE,C. VENKATRAMAN,N,IND,M,195,143250,74148,72774,0.5176125654450262,N
182,1977,TIRUVALLUR,S. PATTABIRAMAN,W,ADMK,M,30670,109003,68704,67589,0.6302945790482831,N
183,1977,TIRUVALLUR,MUNIRATHINAM NAIDU,N,JNP,M,22368,109003,68704,67589,0.6302945790482831,N
184,1977,TIRUVALLUR,T.K. PONNUVELU,N,DMK,M,7943,109003,68704,67589,0.6302945790482831,N
185,1977,TIRUVALLUR,T. GOPALAN,N,INC,M,3165,109003,68704,67589,0.6302945790482831,N
186,1977,TIRUVALLUR,D. ETHURASAN,N,IND,M,2792,109003,68704,67589,0.6302945790482831,N
187,1977,TIRUVALLUR,P. GOPAL,N,IND,M,651,109003,68704,67589,0.6302945790482831,W
188,1977,TIRUTTANI,R. SHANMUGHAM,W,ADMK,M,29070,102979,67645,66547,0.6568815001116732,N
189,1977,TIRUTTANI,A.B. RAMACHANDRAN,N,DMK,M,18754,102979,67645,66547,0.6568815001116732,N
190,1977,TIRUTTANI,C. SUBBARAYALU,N,JNP,M,13540,102979,67645,66547,0.6568815001116732,N
191,1977,TIRUTTANI,D.S. VARADARAJ,N,INC,M,2236,102979,67645,66547,0.6568815001116732,W
192,1977,TIRUTTANI,R. NARAYANADU ALIAS NARAYANADOSS,N,IND,M,1788,102979,67645,66547,0.6568815001116732,N
193,1977,TIRUTTANI,C. RADHAKRISHNA REDDY,N,IND,M,808,102979,67645,66547,0.6568815001116732,N
194,1977,TIRUTTANI,DHARMALINGA MUDALIAR,N,IND,M,351,102979,67645,66547,0.6568815001116732,N
194,1977,TIRUTTANI,DHARMALINGA MUDALIAR,N,IND,M,351,102979,67645,66547,0.6568815001116732,N
195,1977,PALLIPET,ENKAMBARA REDDY,W,INC,M,23480,110571,70972,69830,0.6418681209358693,N
196,1977,PALLIPET,K.M. BALARAMAN,N,ADMK,M,19194,110571,70972,69830,0.6418681209358693,N
196,1977,PALLIPET,K.M. BALARAMAN,N,ADMK,M,19194,110571,70972,69830,0.6418681209358693,W
197,1977,PALLIPET,N.K.S. GANESAN,N,DMK,M,17252,110571,70972,69830,0.6418681209358693,N
198,1977,PALLIPET,A. ASWATHA,N,JNP,M,7195,110571,70972,69830,0.6418681209358693,N
199,1977,PALLIPET,Y. MUNUSWAMY,N,IND,M,2449,110571,70972,69830,0.6418681209358693,N
199,1977,PALLIPET,Y. MUNUSWAMY,N,IND,M,2449,110571,70972,69830,0.6418681209358693,N
200,1977,PALLIPET,C. RAJAGOPAL,N,IND,M,260,110571,70972,69830,0.6418681209358693,N
200,1977,PALLIPET,C. RAJAGOPAL,N,IND,M,260,110571,70972,69830,0.6418681209358693,N
201,1977,ARKONAM,V.K. RAJU,W,ADMK,M,24630,119208,74384,73525,0.6239849674518488,N
202,1977,ARKONAM,A. KANNAYIRAM,N,DMK,M,17041,119208,74384,73525,0.6239849674518488,N
203,1977,ARKONAM,A. JAYARAMAN,N,JNP,M,15503,119208,74384,73525,0.6239849674518488,N
204,1977,ARKONAM,G. JAYARAJ,N,INC,M,13893,119208,74384,73525,0.6239849674518488,N
205,1977,ARKONAM,V. BALRAJ,N,IND,M,1342,119208,74384,73525,0.6239849674518488,N
